0.000000 0.000000
0.663011 59.635326
0.983732 63.646042
2.052551 64.954575
39.445667 64.179474
41.281746 63.080399
41.836250 59.126183
43.512634 -78.006332
44.556526 -81.517105   0
48.496483 -82.463043   0
87.841446 -82.759842   0
92.111969 -82.482834   0
94.389587 -81.429459   0
94.988022 -77.486969   0
94.649849 -23.368990   0
93.581444 -19.720470   0
89.634918 -18.737625   0
46.008305 -18.704288   0
43.706863 -19.757446   0
43.019371 -23.699209   0
40.982872 -97.392189   0
39.877571 -99.916077   0
31.200947 -100.826096  0
-87.751007 -101.258392 0
-90.173767 -100.217102 0
-90.849792 -96.277939  0
-92.157600 -3.001003   0
-93.224197 -1.640933   0
-97.170242 -1.272909   0
-216.003387 -0.636239  0
-218.869385 0.423112   0
-219.586853 4.366870   0
-219.208313 140.723175 0
-220.109619 144.198700 0
-221.122650 146.040039 0
-223.873718 148.278717 0
-225.989563 149.229507 0
-230.203918 149.621872 0
-234.953156 149.849701 0
-239.743408 149.977875 0
-244.162811 149.871918 0
-247.057770 148.929138 0
-247.900269 145.016876 0
-249.858194 2.631793   0
-248.420776 -0.453684  0
-244.471405 -0.458150  0
-224.470062 -0.290442  0
-221.164795 0.742882   0
-220.216125 4.679472   0
-218.770157 63.916336  0
-218.418106 67.917603  0
-217.339386 69.192322  0
-174.164139 68.690300  0
-170.205109 68.327148  0
-169.087280 67.247986  0
-168.495499 13.714201  0
-168.405304 8.798512   0
-168.108521 4.113106   0
-167.040680 0.287126   0
-163.094299 -0.727663  0
-98.762962 -0.817150   0
-94.535522 -0.522053   0
-92.418686 0.540525    0
-92.491455 58.786148   0
-92.827637 62.943230   0
-93.906616 64.798553   0
-97.852722 65.450073   0
-162.097305 68.236099  0
-166.236572 68.127762  0
-168.036469 67.147255  0
-168.105560 4.110190   0
-167.037079 0.452635   0
-163.090530 -0.522099  0
-94.625000 -0.394993   0
-92.763657 0.664330    0
-92.273941 4.608418    0
-92.121475 58.907860   0
-91.848587 63.050240   0
-90.796432 64.849594   0
-86.854263 65.325150   0
-3.019295 64.964256    0
-0.144067 63.902519    0
0.593053 59.957924     0
0.548467 -9.287792     0
1.331485 -14.031852    0
2.130767 -18.510456    0
2.390415 -21.915655    0
1.553323 -26.179043    0
0.254148 -49.680954    0
0.292455 -54.126511    0
0.623049 -57.063080    0
1.948894 -61.264694    0
4.671101 -70.139099    0
5.561971 -98.651688    0
6.621997 -100.202927   0
10.565987 -100.620461  0
39.001930 -100.407265  0
40.782867 -99.368118   0
44.371605 -83.877815   0
48.391006 -83.135262   0
92.103134 -82.444824   0
94.565155 -81.386383   0
95.085693 -18.034452   0
